NHL_ID,Player,Team,Position,Jersey#,DOB,_source
8484258,Sam Malinski,COL,D,70.0,,nhl_search_api
8483485,Denton Mateychuk,CBJ,D,5.0,,nhl_search_api
8484125,Hunter McKown,CBJ,C,41.0,,nhl_search_api
8483397,Marc McLaughlin,NJD,C,21.0,,nhl_search_api
8480802,Ryan McLeod,BUF,C,71.0,,nhl_search_api
8485401,Aleksei Medvedev,VAN,G,,,nhl_search_api
8483918,Riley Mercer,MIN,G,37.0,,nhl_search_api
8483570,Ben Meyers,SEA,C,59.0,,nhl_search_api
8478859,Niko Mikkola,FLA,D,77.0,,nhl_search_api
8485608,Ryan Miller,PIT,C,51.0,,nhl_search_api
8477504,Josh Morrissey,WPG,D,44.0,,nhl_search_api
8484771,John Mustard,CHI,C,,,nhl_search_api
8484201,Nico Myatovic,ANA,L,48.0,,nhl_search_api
8484996,Ilya Nabokov,COL,G,,,nhl_search_api
8484488,Casper Nassen,BOS,R,,,nhl_search_api
8480039,Martin Necas,COL,C,88.0,,nhl_search_api
8483495,Simon Nemec,NJD,D,17.0,,nhl_search_api
8476474,Stefan Noesen,NJD,R,11.0,,nhl_search_api
8480064,Josh Norris,BUF,C,9.0,,nhl_search_api
8481537,Nikita Okhotiuk,CGY,D,28.0,,nhl_search_api
8485447,Brady Peddle,PIT,D,59.0,,nhl_search_api
8479369,Andrew Peeke,BOS,D,26.0,,nhl_search_api
8484419,Matthew Perkins,VAN,C,,,nhl_search_api
8470621,Corey Perry,LAK,R,10.0,,nhl_search_api
8477488,Brett Pesce,NJD,D,22.0,,nhl_search_api
8482718,Matvey Petrov,EDM,L,43.0,,nhl_search_api
8480012,Elias Pettersson,VAN,C,40.0,,nhl_search_api
8483673,Oskar Pettersson,OTT,R,63.0,,nhl_search_api
8485568,Michal Pradel,DET,G,,,nhl_search_api
8482117,Lukas Reichel,VAN,L,73.0,,nhl_search_api
8482785,Justin Robidas,CAR,C,46.0,,nhl_search_api
8482082,Ryder Rolston,NSH,R,36.0,,nhl_search_api
8484565,Anthony Romani,VAN,C,,,nhl_search_api
8483510,Elias Salomonsson,WPG,D,57.0,,nhl_search_api
8485095,William Samuelsson,DAL,C,,,nhl_search_api
8485642,Carter Sanderson,PIT,L,61.0,,nhl_search_api
8482912,Stiven Sardarian,BUF,R,,,nhl_search_api
8477424,Juuse Saros,NSH,G,74.0,,nhl_search_api
8476460,Mark Scheifele,WPG,C,55.0,,nhl_search_api
8485660,Dawson Sharkey,DAL,R,,,nhl_search_api
8478048,Igor Shesterkin,NYR,G,31.0,,nhl_search_api
8484987,Anton Silayev,NJD,D,,,nhl_search_api
8484386,Dmitri Simashev,UTA,D,26.0,,nhl_search_api
8479973,Stuart Skinner,PIT,G,74.0,,nhl_search_api
8481724,Kirill Slepets,TOR,R,,,nhl_search_api
8478867,Spencer Smallman,WSH,R,81.0,,nhl_search_api
8485071,Hunter St. Martin,FLA,L,85.0,,nhl_search_api
8473533,Jordan Staal,CAR,C,11.0,,nhl_search_api
8478831,Kevin Stenlund,UTA,C,82.0,,nhl_search_api
8479388,Riley Stillman,EDM,D,61.0,,nhl_search_api
8484441,Melvin Strahl,CBJ,G,,,nhl_search_api
8483707,Ben Strinden,NSH,C,66.0,,nhl_search_api
8484549,Julius Sumpf,CHI,C,,,nhl_search_api
8481576,Ryan Suzuki,CAR,C,16.0,,nhl_search_api
8482870,Philip Svedeback,BOS,G,,,nhl_search_api
8482711,Stanislav Svozil,CBJ,D,81.0,,nhl_search_api
8483763,Maksymilian Szuber,UTA,D,55.0,,nhl_search_api
8475690,Chris Tanev,TOR,D,8.0,,nhl_search_api
8481567,Henry Thrun,TOR,D,3.0,,nhl_search_api
8478489,Matej Tomek,PHI,G,,,nhl_search_api
8483691,Klavs Veinbergs,TBL,L,,,nhl_search_api
8483771,Sandis Vilmanis,FLA,L,95.0,,nhl_search_api
8475766,Austin Watson,DET,L,24.0,,nhl_search_api
8477346,MacKenzie Weegar,CGY,D,52.0,,nhl_search_api
8482103,Ozzy Wiesblatt,NSH,C,89.0,,nhl_search_api
8484844,Jared Woolley,LAK,D,80.0,,nhl_search_api
8483734,Nikita Yevseyev,EDM,D,,,nhl_search_api
8483525,Danila Yurov,MIN,R,22.0,,nhl_search_api
8485109,Vasily Zelenov,BUF,R,,,nhl_search_api
8483526,Danil Zhilkin,WPG,C,53.0,,nhl_search_api
8475692,Mats Zuccarello,MIN,R,36.0,,nhl_search_api
8484475,Stepan Zvyagin,FLA,L,,,nhl_search_api
8475461,Andrew Agozzino,UTA,L,36.0,,nhl_search_api
8485639,Anthony Allain Samake,ANA,D,62.0,,nhl_search_api
